Date,Persons,Males,Females
May-14,"1,502.50","1,604.70","1,329.90"
Nov-14,"1,528.40","1,634.50","1,351.70"
May-15,"1,537.30","1,641.60","1,368.50"
Nov-15,"1,556.50","1,654.70","1,392.00"
May-16,"1,568.30","1,661.70","1,411.30"
Nov-16,"1,584.30","1,677.40","1,430.20"
May-17,"1,594.10","1,683.60","1,444.90"
Nov-17,"1,615.30","1,704.60","1,466.60"
May-18,"1,631.10","1,717.40","1,488.20"
Nov-18,"1,651.30","1,735.80","1,512.90"
May-19,"1,681.60","1,768.00","1,542.60"
Nov-19,"1,706.20","1,791.40","1,567.90"
May-20,"1,762.20","1,853.10","1,618.00"
Nov-20,"1,757.20","1,842.50","1,619.40"
May-21,"1,783.70","1,876.60","1,633.20"
Nov-21,"1,794.60","1,885.60","1,648.70"
May-22,"1,816.10","1,912.50","1,665.80"
Nov-22,"1,851.30","1,944.40","1,707.00"
May-23,"1,883.10","1,976.80","1,740.90"
Nov-23,"1,934.80","2,021.10","1,802.80"
May-24,"1,972.60","2,054.80","1,845.40"
