Date,Income,Sex
2014/05/01,1503,All
2014/11/01,1528,All
2015/05/01,1537,All
2015/11/01,1557,All
2016/05/01,1568,All
2016/11/01,1584,All
2017/05/01,1594,All
2017/11/01,1615,All
2018/05/01,1631,All
2018/11/01,1651,All
2019/05/01,1682,All
2019/11/01,1706,All
2020/05/01,1762,All
2020/11/01,1757,All
2021/05/01,1784,All
2021/11/01,1795,All
2022/05/01,1816,All
2022/11/01,1851,All
2023/05/01,1883,All
2023/11/01,1935,All
2024/05/01,1973,All
2014/05/01,1605,Male
2014/11/01,1635,Male
2015/05/01,1642,Male
2015/11/01,1655,Male
2016/05/01,1662,Male
2016/11/01,1677,Male
2017/05/01,1684,Male
2017/11/01,1705,Male
2018/05/01,1717,Male
2018/11/01,1736,Male
2019/05/01,1768,Male
2019/11/01,1791,Male
2020/05/01,1853,Male
2020/11/01,1843,Male
2021/05/01,1877,Male
2021/11/01,1886,Male
2022/05/01,1913,Male
2022/11/01,1944,Male
2023/05/01,1977,Male
2023/11/01,2021,Male
2024/05/01,2055,Male
2014/05/01,1330,Female
2014/11/01,1352,Female
2015/05/01,1369,Female
2015/11/01,1392,Female
2016/05/01,1411,Female
2016/11/01,1430,Female
2017/05/01,1445,Female
2017/11/01,1467,Female
2018/05/01,1488,Female
2018/11/01,1513,Female
2019/05/01,1543,Female
2019/11/01,1568,Female
2020/05/01,1618,Female
2020/11/01,1619,Female
2021/05/01,1633,Female
2021/11/01,1649,Female
2022/05/01,1666,Female
2022/11/01,1707,Female
2023/05/01,1741,Female
2023/11/01,1803,Female
2024/05/01,1845,Female
