Year,State,Dollars,Type
2020,NSW,123.2,Petrol
2021,NSW,148.7,Petrol
2022,NSW,184.9,Petrol
2023,NSW,190.9,Petrol
2024,NSW,198,Petrol
2020,VIC,123.9,Petrol
2021,VIC,147.6,Petrol
2022,VIC,184.3,Petrol
2023,VIC,189.7,Petrol
2024,VIC,197.8,Petrol
2020,QLD,124.5,Petrol
2021,QLD,148.9,Petrol
2022,QLD,184.4,Petrol
2023,QLD,191.2,Petrol
2024,QLD,202.4,Petrol
2020,SA,120.7,Petrol
2021,SA,142.8,Petrol
2022,SA,179.7,Petrol
2023,SA,186.3,Petrol
2024,SA,189.6,Petrol
2020,WA,120.8,Petrol
2021,WA,146,Petrol
2022,WA,181.9,Petrol
2023,WA,185.4,Petrol
2024,WA,186.6,Petrol
2020,NT,134.7,Petrol
2021,NT,155.6,Petrol
2022,NT,199,Petrol
2023,NT,201,Petrol
2024,NT,188.7,Petrol
2020,TAS,131,Petrol
2021,TAS,150.7,Petrol
2022,TAS,191.9,Petrol
2023,TAS,192.7,Petrol
2024,TAS,196.5,Petrol
2020,ACT,122.35,Petrol
2021,ACT,145.9,Petrol
2022,ACT,189.1,Petrol
2023,ACT,192.4,Petrol
2024,ACT,203.55,Petrol
2020,NSW,1316.3,Income
2021,NSW,1349.2,Income
2022,NSW,1376.75,Income
2023,NSW,1425.27,Income
2024,NSW,1503.83,Income
2020,VIC,1277.4,Income
2021,VIC,1278.2,Income
2022,VIC,1313.8,Income
2023,VIC,1388.43,Income
2024,VIC,1440.03,Income
2020,QLD,1246.58,Income
2021,QLD,1281.77,Income
2022,QLD,1348.03,Income
2023,QLD,1404.58,Income
2024,QLD,1488.37,Income
2020,SA,1147.95,Income
2021,SA,1198.48,Income
2022,SA,1250.12,Income
2023,SA,1279,Income
2024,SA,1336.47,Income
2020,WA,1385.82,Income
2021,WA,1435.28,Income
2022,WA,1508.82,Income
2023,WA,1540.28,Income
2024,WA,1570.7,Income
2020,NT,1411.85,Income
2021,NT,1387.67,Income
2022,NT,1444.5,Income
2023,NT,1477,Income
2024,NT,1524.37,Income
2020,TAS,1081.23,Income
2021,TAS,1128.05,Income
2022,TAS,1181.95,Income
2023,TAS,1220.22,Income
2024,TAS,1253.47,Income
2020,ACT,1504.67,Income
2021,ACT,1525.03,Income
2022,ACT,1558.48,Income
2023,ACT,1640.47,Income
2024,ACT,1676.97,Income
