Industry, Region,Year-Semester,Income
 Construction, Australia,2020-S1,1621
 Construction, Australia,2020-S2,1550.7
 Construction, Australia,2021-S1,1604.2
 Construction, Australia,2021-S2,1640.6
 Construction, Australia,2022-S1,1648.5
 Construction, Australia,2022-S2,1689.3
 Construction, Australia,2023-S1,1737.6
 Construction, Australia,2023-S2,1692.4
 Construction, Australia,2024-S1,1769.6
 All Industries, Australia,2020-S1,1268
 All Industries, Australia,2020-S2,1281.9
 All Industries, Australia,2021-S1,1305.3
 All Industries, Australia,2021-S2,1327.6
 All Industries, Australia,2022-S1,1347.4
 All Industries, Australia,2022-S2,1376.1
 All Industries, Australia,2023-S1,1400.6
 All Industries, Australia,2023-S2,1434.6
 All Industries, Australia,2024-S1,1479.1
 Other Services, Australia,2020-S1,1011.1
 Other Services, Australia,2020-S2,1002.7
 Other Services, Australia,2021-S1,1034.1
 Other Services, Australia,2021-S2,1005.1
 Other Services, Australia,2022-S1,1047
 Other Services, Australia,2022-S2,1027.5
 Other Services, Australia,2023-S1,1026.5
 Other Services, Australia,2023-S2,1039.9
 Other Services, Australia,2024-S1,1100.5
" Rental, Hiring and Real Estate Services", Australia,2020-S1,1191.5
" Rental, Hiring and Real Estate Services", Australia,2020-S2,1262.3
" Rental, Hiring and Real Estate Services", Australia,2021-S1,1319.1
" Rental, Hiring and Real Estate Services", Australia,2021-S2,1376.8
" Rental, Hiring and Real Estate Services", Australia,2022-S1,1334.8
" Rental, Hiring and Real Estate Services", Australia,2022-S2,1393.6
" Rental, Hiring and Real Estate Services", Australia,2023-S1,1420
" Rental, Hiring and Real Estate Services", Australia,2023-S2,1447.4
" Rental, Hiring and Real Estate Services", Australia,2024-S1,1525.6
 All Industries, New South Wales,2020-S1,1330.4
 All Industries, New South Wales,2020-S2,1302
 All Industries, New South Wales,2021-S1,1340
 All Industries, New South Wales,2021-S2,1359.3
 All Industries, New South Wales,2022-S1,1362
 All Industries, New South Wales,2022-S2,1390.8
 All Industries, New South Wales,2023-S1,1398.4
 All Industries, New South Wales,2023-S2,1449.6
 All Industries, New South Wales,2024-S1,1503.4
 All Industries, Australia,2020-S1,1304.7
 All Industries, Australia,2020-S2,1280.3
 All Industries, Australia,2021-S1,1305.8
 All Industries, Australia,2021-S2,1328.9
 All Industries, Australia,2022-S1,1344.7
 All Industries, Australia,2022-S2,1378.6
 All Industries, Australia,2023-S1,1399.1
 All Industries, Australia,2023-S2,1432.6
 All Industries, Australia,2024-S1,1480.9
 Health Care and Social Assistance, Australia,2020-S1,1159.3
 Health Care and Social Assistance, Australia,2020-S2,1166.1
 Health Care and Social Assistance, Australia,2021-S1,1166.5
 Health Care and Social Assistance, Australia,2021-S2,1194.1
 Health Care and Social Assistance, Australia,2022-S1,1215.7
 Health Care and Social Assistance, Australia,2022-S2,1217
 Health Care and Social Assistance, Australia,2023-S1,1256.9
 Health Care and Social Assistance, Australia,2023-S2,1288.6
 Health Care and Social Assistance, Australia,2024-S1,1358.9
 All Industries, Australian Capital Territory,2020-S1,1532.5
 All Industries, Australian Capital Territory,2020-S2,1491.5
 All Industries, Australian Capital Territory,2021-S1,1500.7
 All Industries, Australian Capital Territory,2021-S2,1560.9
 All Industries, Australian Capital Territory,2022-S1,1538.8
 All Industries, Australian Capital Territory,2022-S2,1580
 All Industries, Australian Capital Territory,2023-S1,1622.2
 All Industries, Australian Capital Territory,2023-S2,1663.2
 All Industries, Australian Capital Territory,2024-S1,1677.1
 Information Media and Telecommunications, Australia,2020-S1,1763.9
 Information Media and Telecommunications, Australia,2020-S2,1715.4
 Information Media and Telecommunications, Australia,2021-S1,1730
 Information Media and Telecommunications, Australia,2021-S2,1816.4
 Information Media and Telecommunications, Australia,2022-S1,1863.1
 Information Media and Telecommunications, Australia,2022-S2,1935.9
 Information Media and Telecommunications, Australia,2023-S1,1970.3
 Information Media and Telecommunications, Australia,2023-S2,2064
 Information Media and Telecommunications, Australia,2024-S1,2046.4
 All Industries, Northern Territory,2020-S1,1429.1
 All Industries, Northern Territory,2020-S2,1392.4
 All Industries, Northern Territory,2021-S1,1383.3
 All Industries, Northern Territory,2021-S2,1393.1
 All Industries, Northern Territory,2022-S1,1428.3
 All Industries, Northern Territory,2022-S2,1456.9
 All Industries, Northern Territory,2023-S1,1465.8
 All Industries, Northern Territory,2023-S2,1491
 All Industries, Northern Territory,2024-S1,1523.9
